推,噓,分數,作者,標題,時間
6,7,-1,syearth (sysearth),[問卦] 為何有些離婚的台女 常常會讓人瞠目結舌?,Sat Nov  9 09:38:44 2019
5,0,5,jp6vu04boy (多多),[問卦] 什麼顏色的人比較好吃,Sat Nov  9 11:08:51 2019
4,2,2,gotopark (無限風光在險峰),[問卦] 12強對韓國，輸還是贏?,Sat Nov  9 09:53:23 2019
7,1,6,qqmaybenot (qq),[問卦] 微軟的EXCEL篩選功能獨步全球?,Sat Nov  9 08:44:37 2019
11,3,8,stu962046 (晴),[問卦] 為什麼眼科跟牙醫診所都裝潢舒適,Sat Nov  9 00:18:50 2019
10,4,6,fur (英國研究真有趣),Re,Sat Nov  9 00:08:57 2019
5,32,-27,TheZealot (TheZealot),[新聞] 千億基金助勞保!韓拋勞動3箭 無薪假給6成,Sat Nov  9 07:59:03 2019
10,0,10,andyzxcvbn (我想想),[問卦] 有線電視被youtube取代,Sat Nov  9 00:07:23 2019
4,1,3,Changyaya (),[問卦] 大樓管理員都是何方神聖,Fri Nov  8 23:36:12 2019
10,3,7,scores (男兒當逆天！),Re,Sat Nov  9 09:07:47 2019
33,1,32,Bignana (秋水浮萍任飄渺),[公告] 請勿於本板發表買賣帳號之相關言論,Thu Oct 24 13:14:38 2019
31,11,20,ketter (挖西林老背),[問卦] 為什麼飛機不起飛在原地就好,Sat Nov  9 00:37:11 2019
3,8,-5,suntory96 (suntory96),Re,Sat Nov  9 10:19:15 2019
3,0,3,SP500 (標準普爾),[新聞] 櫻島火山近3年最大噴發 噴煙竄升5500公尺,Sat Nov  9 10:49:57 2019
5,0,5,genius721105 (genius721105),[問卦] 這樣的條件可以買車嗎？,Sat Nov  9 00:43:43 2019
3,1,2,Fushimi (伏西米),[問卦] 夢裡點餐，沒吃到就醒來的卦,Sat Nov  9 03:36:35 2019
14,3,11,ilovemami (噁爛肥宅好搗亂癱瘓交通 ),[問卦] YT music能屌打apple跟Spotify 嗎,Sat Nov  9 00:12:20 2019
16,3,13,Ifault (Not my fault),[問卦] 外送平台的平台該怎麼解釋？,Sat Nov  9 03:04:51 2019
1,0,1,mother (老木),Re,Sat Nov  9 11:48:50 2019
1,1,0,cosmite (Z),[問卦] 美女你們想要看我的肉棒硬嗎,Fri Nov  8 23:05:56 2019
6,0,6,hizo (白木緋奏),[問卦] 西野七瀬與佐藤健拍廣告?~,Sat Nov  9 00:05:12 2019
7,1,6,krit1009 (肥龍公主),[問卦] 和運怎麼都知道？,Sat Nov  9 00:17:40 2019
2,0,2,koheik2 (ko),[問卦] 賁門看西醫有用嗎?,Sat Nov  9 11:02:49 2019
8,1,7,silent328kn (沈默羊),[問卦] 要怎麼擺脫賤民身分?,Sat Nov  9 01:07:41 2019
0,1,-1,PRME (我被水桶拉),Re,Sat Nov  9 02:28:25 2019
4,1,3,yuechen (亂轟阿翔),[新聞] 《絕地求生》2019世界冠軍賽明日起點燃戰火 首次釋出賽事主,Fri Nov  8 23:58:33 2019
3,13,-10,chao0210 (一步一腳印),[問卦]  hey　我真的好想你,Sat Nov  9 00:17:54 2019
4,4,0,bernie90006 (害羞ㄉ波妮 0///0),[問卦] 全世界組一支棒球隊和大聯盟PK有沒有勝算,Sat Nov  9 09:55:52 2019
27,4,23,syearth (sysearth),Re,Sat Nov  9 10:08:45 2019
4,0,4,mojojojo5217 (Mojo),[問卦] 第一個尻槍的人在想什麼？,Sat Nov  9 00:12:37 2019
0,0,0,lpbrother (LP哥(LP = Love & Peace)),Re,Sat Nov  9 10:19:12 2019
4,0,4,a221877890 (andy),[問卦]  當年兒童節收到禮物有多期待？,Sat Nov  9 02:00:21 2019
6,2,4,inmee (J),[問卦] 會在手機上面裝防毒軟體的都什麼人?,Sat Nov  9 09:30:02 2019
4,1,3,HDSM (Love Not Change  O'_'O),[問卦] 喝什麼最退火阿???,Fri Nov  8 23:59:14 2019
54,5,49,hmt17 (Popo:(bﾟ▽ﾟ)b),[新聞] 炎亞綸要演日劇了！女主角竟是「晨間劇女,Fri Nov  8 23:20:59 2019
5,0,5,keif (該如何面對~~),[問卦] 現在體罰不會有問題嗎？,Sat Nov  9 09:58:18 2019
58,4,54,rainnawind (第八罪正太之罪：雨颯),Re,Fri Nov  8 23:06:41 2019
43,4,39,tony77998 (偷尼柒柒玖玖捌),[新聞] 9男擠1間汽旅房3天 苗警台中查毒見槍上膛,Sat Nov  9 00:04:35 2019
5,2,3,alberchi (RELAX),[問卦] 屁股毛要用many還是much?,Sat Nov  9 01:13:17 2019
5,3,2,yokann (戰爆廢物黨工),[問卦] 有沒有台灣消費者心態的八卦,Sat Nov  9 07:29:02 2019
24,0,24,xianyao (艾瑪),Re,Sat Nov  9 07:45:38 2019
0,4,-4,xampp (xampp),[問卦] 單身公害,Sat Nov  9 04:33:22 2019
4,5,-1,DevilHotel (惡魔旅館),[問卦] 放假穿制服的妹子在想什麼,Sat Nov  9 11:09:50 2019
2,0,2,sq61372py (sq613),[問卦] 有沒有蘆花雞的八卦？,Sat Nov  9 02:08:19 2019
10,7,3,xianfen (Lily),[新聞] 韓冰打工買車送韓國瑜 林俊憲：南港豪宅,Sat Nov  9 11:39:33 2019
5,2,3,bbob (小海),[問卦] 有沒有人親眼看過國家機器的樣子?,Sat Nov  9 00:08:40 2019
5,0,5,liang691206 (liang691206),Re,Sat Nov  9 09:13:26 2019
47,2,45,LoveMakeLove (愛がすべて),[新聞]布袋戲電影《西幽玹歌》台日叫好 西川貴教,Sat Nov  9 08:01:59 2019
50,7,43,Y225 (阿凱),[新聞] 「郭宋配」有譜？　郭台銘：你們消息怎,Sat Nov  9 10:53:11 2019
4,5,-1,songgood (ilovegoodgame),[問卦] 幹水果亂切就好你以為在賣生魚片唷,Sat Nov  9 08:54:56 2019
11,1,10,EbinaHina (EbinaHina),[新聞] 燙傷用冰塊降溫反加劇傷害 醫師：沖水才,Sat Nov  9 08:27:29 2019
1,5,-4,bellas (小p),Re,Sat Nov  9 01:46:37 2019
9,1,8,liang691206 (liang691206),Re,Sat Nov  9 08:59:09 2019
3,3,0,pchunters123 (pp),[問卦] 前面有背後背包的擋路，可以直接撞開嗎,Sat Nov  9 10:00:43 2019
3,2,1,MiLuDaiBoom (ⓂⓛⓁⓤⒹⓐⓛⒷⓞⓞⓂ),[問卦] 凌晨兩點中,Sat Nov  9 02:25:17 2019
1,1,0,hclstarkid (=你看不到我=),[問卦] 有沒有香港01這新聞App 屌打國內ap,Sat Nov  9 11:36:51 2019
9,13,-4,Ras5566 (橡皮擦),[新聞] 為豪宅案酸小英？韓國瑜：長得一副聰明,Fri Nov  8 23:07:22 2019
4,2,2,firebm (..F.I.R.E.. BM),Re,Sat Nov  9 11:08:41 2019
13,1,12,b34mac2 (店長推薦作品),[問卦] 古巴三明治怎麼做的?,Sat Nov  9 02:33:17 2019
0,2,-2,twin1949tw (台北Station),Re,Sat Nov  9 08:23:30 2019
14,2,12,qazStarStar (我不是派大星),[問卦] 典獄長真的可以隨便殺人嗎?,Sat Nov  9 04:52:20 2019
8,0,8,DaGoDa (大哥大),Re,Sat Nov  9 07:55:45 2019
4,0,4,OAO5566 (OAO),[問卦] 為什麼不把它塗點果醬就把它吃掉啊？,Fri Nov  8 23:35:12 2019
12,4,8,olmtw (支持htc，支持台灣貨),[新聞] 太魯閣號集電弓斷扯電車線 今東部幹線將,Sat Nov  9 08:10:48 2019
191,14,177,Gotham (萬惡之城),[新聞] 林亮君退黨事前沒告知 林穎孟：錯愕、看,Fri Nov  8 23:30:30 2019
87,5,82,opengaydoor (開甲門),[問卦] 低收入戶出身的小孩 要考上台大有多難？,Sat Nov  9 09:14:38 2019
5,0,5,Superxixai (洪粉吱已),[問卦] 台灣好區壞區有像國外那樣誇張嗎？,Sat Nov  9 09:33:38 2019
3,1,2,TheDraggers (TheDraggers),[問卦] 幹幹幹幹幹，A片不小心開太大聲,Sat Nov  9 00:02:11 2019
19,3,16,yankae (kerker),[問卦] 喜歡看書跟歷史愛喝紅茶以後能幹麻,Sat Nov  9 02:25:13 2019
7,0,7,cloudyheart (雲心),Re,Sat Nov  9 05:06:40 2019
7,1,6,geordie (Geordie),Re,Sat Nov  9 09:01:21 2019
5,2,3,adf926 (呵呵蓋),[問卦] 欸誒欸插座頭是不是很像臉阿?,Sat Nov  9 07:44:12 2019
6,2,4,Oilboy (油膩Boy),[問卦] 好久好久的故事 是媽媽告訴我,Sat Nov  9 03:49:38 2019
6,2,4,Timekeeper (1450退散),[問卦] 如果大海能夠喚回曾經的愛,Sat Nov  9 01:35:57 2019
2,8,-6,drinkmuffin (暢飲鬆餅),[問卦] 伊莉雅絲菲爾當年有多紅？,Sat Nov  9 02:58:07 2019
34,4,30,Zeldaman (dadada),[問卦] MobileComm是不是最短視近利的地方？,Sat Nov  9 06:08:42 2019
3,3,0,fur (英國研究真有趣),[問卦] 為什麼你各位不肯信耶穌還要毀謗祂？,Sat Nov  9 00:54:01 2019
5,2,3,three88720 (不要跟我起爭yee啦!),[問卦] 玻璃清潔劑對蚊子超有效,Sat Nov  9 00:12:34 2019
4,3,1,hk5566 (),[問卦] 穿過鞋子踩下去會發光的都幾歲了？,Fri Nov  8 23:53:24 2019
1,1,0,yuahang (橘花貓),Re,Sat Nov  9 09:46:48 2019
0,2,-2,wangyc (粒咲杏子的老公),[問卦] 肥宅去韓國吃魚有加分嗎？,Sat Nov  9 00:04:29 2019
8,1,7,ianlin1216 (伊恩可可),[問卦] 鴿子不會飛走代表什麼,Sat Nov  9 07:48:21 2019
9,0,9,spartaucs896 (夢醒十分),[問卦] 把鬼片中的門都拆掉會怎樣？,Fri Nov  8 23:42:42 2019
0,0,0,tobetwob (),[新聞] 遏止電子煙 川普擬將購買年齡提高至21歲,Sat Nov  9 03:20:34 2019
1,8,-7,zz2895341 (煙大屌宅男),Re,Sat Nov  9 10:28:42 2019
8,2,6,weido (維逗),[問卦] 東南亞的機車輪胎很大一顆,Sat Nov  9 09:44:40 2019
9,2,7,meokay (我可以),[問卦] 認真問，要2020了路上還有人在賣愛心筆,Sat Nov  9 10:18:35 2019
11,3,8,goldenhill (我的人權時代),[新聞] 中國水果「賣不掉、吃不起」 誰是禍首？,Sat Nov  9 10:54:35 2019
0,7,-7,hsiao15165 (notdragon),[問卦] 刺青妹子在想什麼？,Sat Nov  9 00:01:18 2019
12,2,10,powyo (光子郎),[問卦] 新中華一番 這什麼到底什麼糞作?,Sat Nov  9 09:27:43 2019
16,14,2,takase (............),"[新聞] 提問時力不分區遭轟,成林亮君退黨關鍵",Sat Nov  9 10:04:33 2019
13,8,5,energy4924 (魯肥宅),[問卦] 有沒有吳宗憲很親民的掛,Sat Nov  9 01:21:09 2019
6,0,6,chart (まどか　ＮＯ.１ ＼(^O^)),[新聞] 違規超車橫停拒檢 駕駛躲車內警方破窗抓人,Fri Nov  8 23:33:04 2019
12,0,12,e584886401 (嵩嘎滅隙),[問卦] 肥貓好肥,Sat Nov  9 10:16:07 2019
2,2,0,cosmite (Z),Re,Sat Nov  9 01:52:21 2019
11,49,-38,flyer1998 (闊),[新聞] 韓國瑜批蔡政府：跟匈奴一樣不停掠奪,Sat Nov  9 11:25:56 2019
2,2,0,z5419 (邱哥),[問卦] 認真問個問題,Sat Nov  9 03:03:59 2019
3,0,3,system303179 (Simon11034),Re,Sat Nov  9 09:12:17 2019
10,5,5,KennethC (Smith),[問卦] 為什麼電腦主機要做這麼大?,Sat Nov  9 01:29:38 2019
31,10,21,chidiao (Archibald),[新聞] 大巨蛋遠雄電腦模擬被抓疑點 都發局長跳,Fri Nov  8 23:39:45 2019
7,2,5,sbflight (蜂西園主人),Re,Sat Nov  9 10:04:46 2019
10,0,10,WomanizerNo7 (花無缺),[問卦] 買台Po的都是那種人？,Sat Nov  9 11:26:27 2019
13,11,2,seand8088503 (あいうえお),[問卦] 為什麼呆丸人那麼會用塑膠袋啊？,Sat Nov  9 09:34:05 2019
0,1,-1,eateat14 (SHERLOCKZH),[問卦] 有沒有祕密搜查官的八卦?,Fri Nov  8 23:25:10 2019
0,0,0,inmee (J),[問卦] 朋友被人追殺該怎麼幫他?,Fri Nov  8 23:51:12 2019
5,3,2,Beanoodle (津崎似超人平匡先生),[問卦] 聖結石告人嗎？,Fri Nov  8 23:47:02 2019
20,7,13,eierom (非),[問卦] 台灣是不是被大陸商品入侵的很嚴重,Sat Nov  9 08:01:15 2019
12,1,11,gentleman888 (),[問卦] 用鼓棒打肥宅肚子會發出什麼聲音？☺☺☺,Sat Nov  9 11:07:14 2019
3,0,3,sHakZit75 (我還是做得到ㄉ),[問卦] 現在哪間大魯閣還有職棒投手影像?,Sat Nov  9 00:53:39 2019
34,7,27,rubric (),[問卦] 雙螢幕和大螢幕哪個方便的八卦,Sat Nov  9 11:39:42 2019
46,5,41,d841129 (腦殘),[問卦] 在景美女中當16歲正妹高中生是什麼港覺?,Sat Nov  9 00:08:17 2019
21,5,16,sodistrues (true),[問卦]宮崎駿說神隱少女無關九份  日本人不信？,Sat Nov  9 09:53:35 2019
2,0,2,GentleJena (耶拿),[問卦] 如果高坂麗奈當初加入的是輕音部,Fri Nov  8 23:05:11 2019
